name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"The Villages CDP, Florida",1600000US1271625,68874,,,,,,,,,,68713,11353,798,,53261,12,71625,2014,Florida,12_71625,The Villages CDP
"Town 'n' Country CDP, Florida",1600000US1272145,87874,72504,61614,961,18764,1935,2801,6996,6289,12082,71293,50228,4648,13437,52253,12,72145,2014,Florida,12_72145,Town 'n' Country CDP
"Weston city, Florida",1600000US1276582,69091,57471,,,,,,,,,50688,32088,2900,4372,84993,12,76582,2014,Florida,12_76582,Weston
"West Palm Beach city, Florida",1600000US1276600,104017,58348,74131,1608,15274,1079,3118,10846,5208,17340,86100,56202,5265,22429,41792,12,76600,2014,Florida,12_76600,West Palm Beach
"Albany city, Georgia",1600000US1301052,73016,,44739,551,9298,2038,2314,9374,3877,5024,56666,33230,6515,23828,29613,13,01052,2014,Georgia,13_01052,Albany
"Athens-Clarke County unified government (balance), Georgia",1600000US1303440,119841,75599,64515,1253,11830,2656,1988,8995,4026,12679,101211,57160,4909,43448,29912,13,03440,2014,Georgia,13_03440,Athens-Clarke County unified government (balance)
"Atlanta city, Georgia",1600000US1304000,456012,188315,306985,2570,46977,8133,10899,43752,14549,84091,377671,243053,25469,101316,46777,13,04000,2014,Georgia,13_04000,Atlanta
"Augusta-Richmond County consolidated government (balance), Georgia",1600000US1304204,197465,76062,125839,1458,33572,7554,8200,20390,8617,15305,155862,91373,12113,47383,35830,13,04204,2014,Georgia,13_04204,Augusta-Richmond County consolidated government (balance)
"Columbus city, Georgia",1600000US1319000,200887,91379,129428,1522,27926,8230,8153,24209,9978,21149,157501,101923,8763,41089,42176,13,19000,2014,Georgia,13_19000,Columbus
"Johns Creek city, Georgia",1600000US1342425,83108,50622,,,,,,,,,62156,44492,2611,3701,99930,13,42425,2014,Georgia,13_42425,Johns Creek
"Macon-Bibb County, Georgia",1600000US1349008,153633,66160,98362,1724,29857,5344,3855,16036,4135,14443,119477,68106,10301,41061,35427,13,49008,2014,Georgia,13_49008,Macon-Bibb County
"Roswell city, Georgia",1600000US1367284,94073,72875,,,,,,,,,72304,51663,2123,6447,80125,13,67284,2014,Georgia,13_67284,Roswell
"Sandy Springs city, Georgia",1600000US1368516,101914,67771,73471,285,10097,431,2287,9555,3384,26337,83263,59807,3206,12768,64049,13,68516,2014,Georgia,13_68516,Sandy Springs
"Savannah city, Georgia",1600000US1369000,144355,56434,90893,918,19457,4482,6660,16513,6136,14998,117886,73804,9950,32172,38168,13,69000,2014,Georgia,13_69000,Savannah
