name,geo_id,total_population,white_alone,education_universe_25plus,no_schooling_completed,high_school_graduate,ged_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years,associate_degree,bachelor_degree,civilian_labor_force_16plus,labor_force_total,civilian_unemployed,income_below_poverty_level,median_household_income,state_code,place_code,year,state_name,place_id,city_name
"Dearborn city, Michigan",1600000US2621000,94497,84918,54823,3526,11825,1822,3048,6404,4481,9955,68930,37908,2801,30422,46662,26,21000,2017,Michigan,26_21000,Dearborn
"Detroit city, Michigan",1600000US2622000,673103,97402,436996,6973,115888,27301,27258,86048,34904,36605,525680,278363,44093,227766,30344,26,22000,2017,Michigan,26_22000,Detroit
"Farmington Hills city, Michigan",1600000US2627440,81048,50870,61547,300,8113,1236,2704,8486,4453,16489,69080,44443,1681,6103,82592,26,27440,2017,Michigan,26_27440,Farmington Hills
"Flint city, Michigan",1600000US2629000,96439,36807,62363,1478,17709,2543,3895,15585,5046,5601,78114,42675,9257,36583,26901,26,29000,2017,Michigan,26_29000,Flint
"Grand Rapids city, Michigan",1600000US2634000,198811,131052,127052,1232,23759,4524,7473,16329,10910,30259,160293,112005,6713,30090,48521,26,34000,2017,Michigan,26_34000,Grand Rapids
"Kalamazoo city, Michigan",1600000US2642160,75802,52529,40533,93,6666,1273,3006,7106,3714,8729,64341,40472,3203,17528,42271,26,42160,2017,Michigan,26_42160,Kalamazoo
"Lansing city, Michigan",1600000US2646000,115451,70081,74870,1645,16996,3268,5898,13714,6308,12255,92263,62292,5481,30141,39957,26,46000,2017,Michigan,26_46000,Lansing
"Livonia city, Michigan",1600000US2649000,94108,84937,70177,712,13031,1646,5937,11970,8109,16785,79838,50271,1831,5204,82410,26,49000,2017,Michigan,26_49000,Livonia
"Rochester Hills city, Michigan",1600000US2669035,74198,60712,53377,327,7772,801,2545,5848,4230,15706,59320,37731,965,3087,93573,26,69035,2017,Michigan,26_69035,Rochester Hills
"Southfield city, Michigan",1600000US2674900,73203,15034,52617,564,8624,1488,2722,10286,3903,11046,61232,37760,2792,5017,58813,26,74900,2017,Michigan,26_74900,Southfield
"Sterling Heights city, Michigan",1600000US2676460,132628,108981,93359,2318,22110,1427,6341,13086,8362,18498,109750,68177,3112,12271,64668,26,76460,2017,Michigan,26_76460,Sterling Heights
"Troy city, Michigan",1600000US2680700,83826,57206,58792,478,6917,646,2189,5551,3872,20792,67911,43975,1657,3194,95825,26,80700,2017,Michigan,26_80700,Troy
"Warren city, Michigan",1600000US2684000,135029,91620,94999,2200,28223,3576,7684,15818,9412,12724,109140,65605,4944,25103,46347,26,84000,2017,Michigan,26_84000,Warren
"Westland city, Michigan",1600000US2686000,81750,59182,60476,389,17336,2799,6172,10923,4735,9110,67452,43821,2686,9749,47943,26,86000,2017,Michigan,26_86000,Westland
"Wyoming city, Michigan",1600000US2688940,75938,56169,52592,1030,15143,2172,4080,6835,5301,8620,58760,41016,2251,10917,56774,26,88940,2017,Michigan,26_88940,Wyoming
"Bloomington city, Minnesota",1600000US2706616,85863,64527,64120,903,11932,1188,4514,10902,6419,17816,72012,48863,2294,5873,69642,27,06616,2017,Minnesota,27_06616,Bloomington
"Brooklyn Park city, Minnesota",1600000US2707966,80573,37054,53998,2064,10883,1558,4315,7710,6935,11862,60935,42970,1825,6344,71213,27,07966,2017,Minnesota,27_07966,Brooklyn Park
"Duluth city, Minnesota",1600000US2717000,86048,77606,52672,200,9742,1768,2741,9629,5270,13704,72172,47811,2417,15988,49078,27,17000,2017,Minnesota,27_17000,Duluth
"Eagan city, Minnesota",1600000US2717288,66623,49683,,,,,,,,,52925,39160,1416,5127,86611,27,17288,2017,Minnesota,27_17288,Eagan
"Maple Grove city, Minnesota",1600000US2740166,71069,55995,,,,,,,,,53018,39305,980,3031,110288,27,40166,2017,Minnesota,27_40166,Maple Grove
"Minneapolis city, Minnesota",1600000US2743000,422326,265357,282898,8492,34172,7190,13437,34360,20460,86477,345840,258015,10912,74432,60789,27,43000,2017,Minnesota,27_43000,Minneapolis
"Plymouth city, Minnesota",1600000US2751730,78388,64168,,,,,,,,,61881,45577,1290,2575,97770,27,51730,2017,Minnesota,27_51730,Plymouth
"Rochester city, Minnesota",1600000US2754880,115733,92692,78270,1187,13410,2511,4996,8554,7978,21125,90674,64468,2034,12041,75464,27,54880,2017,Minnesota,27_54880,Rochester
"St. Cloud city, Minnesota",1600000US2756896,65403,51348,38816,1105,7621,1079,1946,6501,5100,8754,52576,37036,2746,13994,46048,27,56896,2017,Minnesota,27_56896,St. Cloud
"St. Paul city, Minnesota",1600000US2758000,306604,171021,191150,10460,31370,6163,11908,22657,13967,44345,235661,166743,8017,55782,54290,27,58000,2017,Minnesota,27_58000,St. Paul
"Woodbury city, Minnesota",1600000US2771428,69755,55898,,,,,,,,,52187,38727,677,2476,101069,27,71428,2017,Minnesota,27_71428,Woodbury
"Gulfport city, Mississippi",1600000US2829700,71812,40391,47616,896,11295,3536,3290,9728,4682,6580,55838,35609,4472,17155,35758,28,29700,2017,Mississippi,28_29700,Gulfport
"Jackson city, Mississippi",1600000US2836000,167250,,105376,1332,24598,4979,4301,19300,9097,15243,129211,82335,10334,37866,39004,28,36000,2017,Mississippi,28_36000,Jackson
"Columbia city, Missouri",1600000US2915670,121720,92780,68551,324,12354,1330,4031,9073,4395,19059,102784,69494,3691,23392,47043,29,15670,2017,Missouri,29_15670,Columbia
"Independence city, Missouri",1600000US2935000,117308,89404,77919,837,24769,3185,6500,13241,5485,10323,91332,56066,2283,17381,49855,29,35000,2017,Missouri,29_35000,Independence
"Kansas City city, Missouri",1600000US2938000,488825,293200,332935,4203,71938,12720,19196,56012,22770,69206,388400,268501,13933,74400,51330,29,38000,2017,Missouri,29_38000,Kansas City
"Lee's Summit city, Missouri",1600000US2941348,97101,85727,64304,367,11720,1060,4532,8533,5483,19525,72911,50583,1001,3695,86695,29,41348,2017,Missouri,29_41348,Lee's Summit
"O'Fallon city, Missouri",1600000US2954074,87578,79044,,,,,,,,,64306,46857,1030,4914,85831,29,54074,2017,Missouri,29_54074,O'Fallon
"St. Charles city, Missouri",1600000US2964082,70335,60311,48509,69,9926,1743,3980,8103,4722,10152,60290,41810,710,6127,63574,29,64082,2017,Missouri,29_64082,St. Charles
"St. Joseph city, Missouri",1600000US2964550,76643,65430,50866,598,16977,3289,4035,7796,3864,5422,60700,35972,1798,11921,43585,29,64550,2017,Missouri,29_64550,St. Joseph
"St. Louis city, Missouri",1600000US2965000,308626,142956,219910,2413,43175,8900,11579,34293,14374,44196,255283,168819,11745,61212,41441,29,65000,2017,Missouri,29_65000,St. Louis
"Springfield city, Missouri",1600000US2970000,167376,148924,104755,513,23385,5880,9307,17599,7814,18316,139604,86584,4505,34965,36421,29,70000,2017,Missouri,29_70000,Springfield
"Billings city, Montana",1600000US3006550,109642,96903,77012,362,15563,3346,5455,11553,8358,17327,87458,59535,1972,10157,57527,30,06550,2017,Montana,30_06550,Billings
"Missoula city, Montana",1600000US3050200,73338,68104,,,,,,,,,61225,43498,1601,14982,44241,30,50200,2017,Montana,30_50200,Missoula
"Lincoln city, Nebraska",1600000US3128000,284734,241622,174241,3073,31996,5364,11462,27937,17999,41935,225377,161702,6345,33554,56160,31,28000,2017,Nebraska,31_28000,Lincoln
"Omaha city, Nebraska",1600000US3137000,466903,365552,305440,4938,56851,10623,18740,52429,22051,71041,364316,257874,11192,59133,56406,31,37000,2017,Nebraska,31_37000,Omaha
"Enterprise CDP, Nevada",1600000US3223770,168011,90654,112539,1230,26083,3243,6873,23029,11055,26464,130127,88874,2684,12664,79089,32,23770,2017,Nevada,32_23770,Enterprise CDP
"Henderson city, Nevada",1600000US3231900,302535,228746,219459,1118,50085,6847,17012,40390,19057,47603,248901,150954,6833,25043,69667,32,31900,2017,Nevada,32_31900,Henderson
"Las Vegas city, Nevada",1600000US3240000,641708,398287,441667,5365,110927,15587,28954,75262,35526,70886,505498,323641,18744,91538,56699,32,40000,2017,Nevada,32_40000,Las Vegas
"North Las Vegas city, Nevada",1600000US3251800,242949,124071,149647,2326,40210,5756,9742,25660,12233,19083,180630,115435,7996,36731,56059,32,51800,2017,Nevada,32_51800,North Las Vegas
"Paradise CDP, Nevada",1600000US3254600,235123,113030,163759,3094,43937,6253,10964,31883,8956,25796,193640,132121,9286,42696,45777,32,54600,2017,Nevada,32_54600,Paradise CDP
"Reno city, Nevada",1600000US3260600,248860,184947,165105,2306,28813,8216,11023,28887,12948,37044,197733,136385,7140,30897,57125,32,60600,2017,Nevada,32_60600,Reno
"Sparks city, Nevada",1600000US3268400,100878,77994,72105,473,17185,2924,5542,14345,6687,11639,82683,56299,2252,8345,58961,32,68400,2017,Nevada,32_68400,Sparks
"Spring Valley CDP, Nevada",1600000US3268585,211280,113309,150054,2481,41284,3907,9406,30222,11427,24752,170375,114351,5485,27793,56063,32,68585,2017,Nevada,32_68585,Spring Valley CDP
"Sunrise Manor CDP, Nevada",1600000US3271400,193055,90714,119265,3139,35919,6005,7590,19059,6826,7810,147135,97406,9523,36027,44412,32,71400,2017,Nevada,32_71400,Sunrise Manor CDP
"Manchester city, New Hampshire",1600000US3345140,111194,97724,77526,1014,20206,3629,5076,9599,7701,14198,90055,64867,3588,18849,56819,33,45140,2017,New Hampshire,33_45140,Manchester
"Nashua city, New Hampshire",1600000US3350260,88350,69419,61698,485,12293,2899,2886,6196,8149,14311,73476,50609,2135,7972,70261,33,50260,2017,New Hampshire,33_50260,Nashua
"Bayonne city, New Jersey",1600000US3403580,67178,45540,47388,631,13996,1062,2980,4121,2921,13592,54425,33783,1831,9767,60529,34,03580,2017,New Jersey,34_03580,Bayonne
"Camden city, New Jersey",1600000US3410000,74534,23168,44743,1833,12669,2027,3484,5958,2035,2790,54363,31253,2995,25910,24540,34,10000,2017,New Jersey,34_10000,Camden
"Clifton city, New Jersey",1600000US3413690,86615,54474,60094,474,16453,1586,3201,5630,3930,14241,71888,49133,1907,11462,70387,34,13690,2017,New Jersey,34_13690,Clifton
"East Orange city, New Jersey",1600000US3419390,65399,2274,44677,510,15828,2567,1769,7060,3237,6144,52740,35080,2846,11288,52165,34,19390,2017,New Jersey,34_19390,East Orange
"Elizabeth city, New Jersey",1600000US3421000,130222,52817,81815,2653,29741,2043,3201,11605,3412,8429,97630,68392,3854,20474,46754,34,21000,2017,New Jersey,34_21000,Elizabeth
"Jersey City city, New Jersey",1600000US3436000,270750,92904,192390,3584,39165,3734,7836,18472,8646,53573,218574,148123,7800,38751,66264,34,36000,2017,New Jersey,34_36000,Jersey City
"Newark city, New Jersey",1600000US3451000,285156,77158,186458,7182,55966,6761,5806,27733,11118,21311,222814,133865,15705,76159,35167,34,51000,2017,New Jersey,34_51000,Newark
"Passaic city, New Jersey",1600000US3456550,71245,57198,39679,648,12801,296,388,4187,1484,4598,48968,30759,2097,24862,36723,34,56550,2017,New Jersey,34_56550,Passaic
"Paterson city, New Jersey",1600000US3457000,148678,48001,91997,3352,39508,2116,2201,14032,2822,8102,113658,67983,3146,38016,41367,34,57000,2017,New Jersey,34_57000,Paterson
"Toms River CDP, New Jersey",1600000US3473110,89861,75116,63391,409,18838,1293,4924,8349,6234,12948,72077,46366,1623,6128,79654,34,73110,2017,New Jersey,34_73110,Toms River CDP
"Trenton city, New Jersey",1600000US3474000,84971,34506,52760,897,16681,2249,3676,7271,2378,3745,64433,36168,2730,25236,31882,34,74000,2017,New Jersey,34_74000,Trenton
"Union City city, New Jersey",1600000US3474630,70409,54528,47822,1825,13501,831,1706,4267,2191,7599,57698,37400,1581,14500,40468,34,74630,2017,New Jersey,34_74630,Union City
"Albuquerque city, New Mexico",1600000US3502000,558558,427155,381067,3257,70826,14012,23352,69567,31706,75457,445845,279422,13376,84169,50456,35,02000,2017,New Mexico,35_02000,Albuquerque
"Las Cruces city, New Mexico",1600000US3539380,101706,84861,62453,811,10844,2692,5285,11817,6130,11067,80110,46043,3444,24807,36364,35,39380,2017,New Mexico,35_39380,Las Cruces
"Rio Rancho city, New Mexico",1600000US3563460,96168,82754,65442,69,15812,2221,5947,10954,7587,11062,75138,42852,2430,14957,57349,35,63460,2017,New Mexico,35_63460,Rio Rancho
"Santa Fe city, New Mexico",1600000US3570500,83763,72668,60850,842,12256,3250,2325,9129,2790,12630,70151,42231,2077,9306,57022,35,70500,2017,New Mexico,35_70500,Santa Fe
"Albany city, New York",1600000US3601000,98252,52325,59307,201,11401,2512,2630,7523,4211,12002,81449,52800,3782,19449,49307,36,01000,2017,New York,36_01000,Albany
"Brentwood CDP, New York",1600000US3608026,66458,41852,43555,2208,10615,1381,2780,3966,3155,3532,52329,34194,1999,7312,85762,36,08026,2017,New York,36_08026,Brentwood CDP
"Buffalo city, New York",1600000US3611000,258592,120836,170150,2840,37234,9899,7410,27798,16273,26400,208115,130859,10640,74228,34814,36,11000,2017,New York,36_11000,Buffalo
"Cheektowaga CDP, New York",1600000US3615000,73232,58081,52966,183,17485,1708,3221,8221,7103,7738,61508,40173,1388,8221,53502,36,15000,2017,New York,36_15000,Cheektowaga CDP
"Mount Vernon city, New York",1600000US3649121,68702,12392,51894,1393,13786,1805,2086,7107,5424,7079,59192,37495,1625,5417,55564,36,49121,2017,New York,36_49121,Mount Vernon
"New Rochelle city, New York",1600000US3650617,79956,44955,55033,718,9400,2141,2142,4482,3046,12573,67471,44602,2832,7172,84516,36,50617,2017,New York,36_50617,New Rochelle
"New York city, New York",1600000US3651000,8622698,3635789,6076781,172974,1256678,237911,209120,612893,391449,1314514,7020073,4477114,287975,1522962,60879,36,51000,2017,New York,36_51000,New York
"Rochester city, New York",1600000US3663000,208049,94639,140179,2819,29613,8529,8212,15671,14703,21040,168720,103176,9935,64320,33588,36,63000,2017,New York,36_63000,Rochester
"Schenectady city, New York",1600000US3665508,65626,39908,44031,657,10175,3295,2134,6507,4754,6434,54035,32802,3691,13010,42565,36,65508,2017,New York,36_65508,Schenectady
"Syracuse city, New York",1600000US3673000,143398,75611,83688,1745,18773,6003,5220,7358,8187,11949,115200,61061,7201,41651,35568,36,73000,2017,New York,36_73000,Syracuse
"Yonkers city, New York",1600000US3684000,202008,107404,139232,3361,30359,4089,5413,16330,10780,24048,162327,103851,5811,30616,59846,36,84000,2017,New York,36_84000,Yonkers
"Asheville city, North Carolina",1600000US3702140,91916,77066,70348,577,10666,1755,3322,7932,6088,22122,77600,52051,1283,10079,50184,37,02140,2017,North Carolina,37_02140,Asheville
"Cary town, North Carolina",1600000US3710740,166032,113595,114350,719,9907,1750,3500,9331,7083,43039,129314,90241,2288,9227,99209,37,10740,2017,North Carolina,37_10740,Cary town
"Charlotte city, North Carolina",1600000US3712000,859052,422843,575876,8730,89188,12297,23323,90588,42515,169861,681901,487365,22516,104780,61350,37,12000,2017,North Carolina,37_12000,Charlotte
"Concord city, North Carolina",1600000US3714100,92072,61079,60968,1319,12265,1811,3332,8153,4222,14286,70092,49489,2308,9452,67844,37,14100,2017,North Carolina,37_14100,Concord
"Durham city, North Carolina",1600000US3719000,267932,133399,182055,1949,24303,4592,8036,21477,9160,48835,216119,147097,7137,44035,56375,37,19000,2017,North Carolina,37_19000,Durham
"Fayetteville city, North Carolina",1600000US3722920,209913,93664,129733,1144,28281,4307,10337,28478,12143,22813,166952,110932,8137,38103,42629,37,22920,2017,North Carolina,37_22920,Fayetteville
"Gastonia city, North Carolina",1600000US3725580,76606,50071,52787,575,10815,3670,3881,8500,5602,7658,61223,39014,2809,12188,46688,37,25580,2017,North Carolina,37_25580,Gastonia
"Greensboro city, North Carolina",1600000US3728000,290201,139750,192538,1819,37098,5809,9934,29837,17309,46426,237710,153660,10514,46597,47043,37,28000,2017,North Carolina,37_28000,Greensboro
"Greenville city, North Carolina",1600000US3728080,92171,53154,51468,267,7351,2064,3098,7987,5888,13883,75595,47718,3594,25683,39423,37,28080,2017,North Carolina,37_28080,Greenville
"High Point city, North Carolina",1600000US3731400,111213,58283,74347,835,13917,2942,4973,12389,6995,16026,87961,56754,4536,15169,49860,37,31400,2017,North Carolina,37_31400,High Point
"Jacksonville city, North Carolina",1600000US3734200,72448,49008,28843,272,5779,610,3681,5680,3199,4993,56902,45102,1949,9341,43839,37,34200,2017,North Carolina,37_34200,Jacksonville
"Raleigh city, North Carolina",1600000US3755000,464972,264298,306942,3760,39959,6376,13043,42451,21649,100088,376170,268946,9466,56263,64660,37,55000,2017,North Carolina,37_55000,Raleigh
"Wilmington city, North Carolina",1600000US3774440,119048,91907,79336,603,12673,2906,6015,9866,7012,21600,100255,64477,3225,25557,46079,37,74440,2017,North Carolina,37_74440,Wilmington
"Winston-Salem city, North Carolina",1600000US3775000,244592,141837,162433,1946,35962,4333,7776,28072,11808,34626,196588,117031,5510,48381,44146,37,75000,2017,North Carolina,37_75000,Winston-Salem
"Bismarck city, North Dakota",1600000US3807200,71574,64899,49615,44,10291,1883,2423,8443,6312,12010,57762,39704,615,5899,62755,38,07200,2017,North Dakota,38_07200,Bismarck
"Fargo city, North Dakota",1600000US3825700,123590,103635,76506,426,11820,2252,3197,11997,11477,21312,100390,79293,2259,13169,59542,38,25700,2017,North Dakota,38_25700,Fargo
"Akron city, Ohio",1600000US3901000,197849,118028,133076,1952,39051,7157,8807,21907,12353,18424,160761,100329,7928,43394,36816,39,01000,2017,Ohio,39_01000,Akron
"Canton city, Ohio",1600000US3912000,70893,51995,46909,357,15883,2031,3616,8315,3845,3287,56534,34395,3820,20628,30046,39,12000,2017,Ohio,39_12000,Canton
"Cincinnati city, Ohio",1600000US3915000,301305,151869,198191,1658,41394,7766,9338,26398,16292,40073,242324,163003,9619,79976,38938,39,15000,2017,Ohio,39_15000,Cincinnati
"Cleveland city, Ohio",1600000US3916000,385552,150623,259124,4264,69272,15438,17136,46487,17840,28140,307229,181931,22667,124234,28974,39,16000,2017,Ohio,39_16000,Cleveland
"Columbus city, Ohio",1600000US3918000,881901,520193,581506,7259,128815,20343,33571,90080,43068,132067,701068,489353,24829,169323,51708,39,18000,2017,Ohio,39_18000,Columbus
"Dayton city, Ohio",1600000US3921000,140379,75045,90350,595,21635,3876,7979,15139,8947,9911,114501,64485,7456,39134,30643,39,21000,2017,Ohio,39_21000,Dayton
"Lorain city, Ohio",1600000US3944856,63840,45638,42668,1110,11865,2256,3326,7851,4012,2819,50713,26716,2046,17258,32379,39,44856,2017,Ohio,39_44856,Lorain
"Parma city, Ohio",1600000US3961000,79159,71137,58637,1097,20162,2981,3813,8926,5275,9279,67942,43372,1918,6596,54588,39,61000,2017,Ohio,39_61000,Parma
"Toledo city, Ohio",1600000US3977000,276494,174497,182635,1862,50665,10141,14010,28630,15990,23035,219296,132754,12425,65456,37339,39,77000,2017,Ohio,39_77000,Toledo
"Youngstown city, Ohio",1600000US3988000,64585,30019,43450,591,16319,3237,2305,5738,3514,3365,51616,26679,3883,21133,28843,39,88000,2017,Ohio,39_88000,Youngstown
"Broken Arrow city, Oklahoma",1600000US4009050,110468,85818,73311,432,13264,2485,6292,13159,8699,17552,84756,59387,2541,7819,68811,40,09050,2017,Oklahoma,40_09050,Broken Arrow
"Edmond city, Oklahoma",1600000US4023200,91936,73117,,,,,,,,,70311,46589,1746,11276,69570,40,23200,2017,Oklahoma,40_23200,Edmond
"Lawton city, Oklahoma",1600000US4041850,93717,54392,56958,439,12834,3953,5958,12183,4377,7200,73344,48364,4194,14311,47591,40,41850,2017,Oklahoma,40_41850,Lawton
"Norman city, Oklahoma",1600000US4052500,122842,92920,74255,163,11858,3540,4970,11181,6057,18488,102290,66526,2668,19529,54065,40,52500,2017,Oklahoma,40_52500,Norman
